Brand,Title,Rating,Author,Date,Review
Flixbus UK,Excellent service,4,,2025-04-03T21:20:19.000Z,Excellent service
Flixbus UK,Fast,5,,2025-04-03T20:19:22.000Z,"Fast , butbwfnlike a refund on my ticket as I have made a mistake and now have 2 return journeys ? And we like to buy an insurance !"
Flixbus UK,Book & Pay,5,,2025-04-03T18:59:00.000Z,"Easy, Great and Convenient."
Flixbus UK,Quick & easy,5,,2025-04-03T17:29:51.000Z,Quick & easy
Flixbus UK,First Booking,4,,2025-04-03T16:26:53.000Z,Simple instructions for not so savvy pensioner.
Flixbus UK,Booking very easy except now I’ve to do…,5,,2025-04-03T15:15:33.000Z,Booking very easy except now I’ve to do my return journey separate
Flixbus UK,It was a simple process!!,5,,2025-04-03T14:55:09.000Z,
Flixbus UK,The driver was smoking throughout the…,1,,2025-04-03T11:14:48.000Z,The driver was smoking throughout the whole journey and on previous journeys. Despite raising an issues about this it has continued. I had no choice but to do this journey
Flixbus UK,"Thanks ,one laptop",5,,2025-04-03T10:58:17.000Z,"Thanks ,one laptop, three people and two telephones!"
Flixbus UK,Excellent service 👏,5,,2025-04-03T10:56:59.000Z,Excellent service 👏
Flixbus UK,Please be careful when you book Flixbus…,1,,2025-04-03T00:44:48.000Z,"Please be careful when you book Flixbus if you need to be in time,my bus was delayed for about 60 minutes,I had to find another way to get to Dundee from Perth.I choose Flixbus because the time was perfect for my appointment, however thing's didn't go well.First the bus supposed to be 09:10 ,phoned customer service twice, both occasions I was told bus will be there in 3 minutes,not happening.At 09:35 another bus is coming,I stepped on the bus and ask if this is the bus which should be there at 09:10 , driver verry rude told me to step out of her bus and if I want to travel with her I need to pay another ticket, again I tried to step in to pay another ticket, again she told me to step out of her bus . Long story short never use this company if you need to be in time , totally shocking behaviour from the driver"
Flixbus UK,Quick response,4,,2025-04-02T22:08:31.000Z,Quick response
Flixbus UK,fast and very easy,5,,2025-04-02T21:08:21.000Z,"fast and very easy , lovley"
Flixbus UK,Bhalwana,5,,2025-04-02T20:38:05.000Z,Good nice easy
Flixbus UK,Easy,5,,2025-04-02T19:30:03.000Z,Very straight forward no hassle.
Flixbus UK,Great easy to book,5,,2025-04-02T19:24:22.000Z,
Flixbus UK,It is very good,4,,2025-04-02T18:50:09.000Z,"Its a very good experience ,easy and worth for travelers"
Flixbus UK,Clear information & good website.,5,,2025-04-02T16:48:26.000Z,
Flixbus UK,It was easy and quick,5,,2025-04-02T16:12:42.000Z,
Flixbus UK,Not even 1 star,1,,2025-04-02T14:32:54.000Z,"Not even 1 star! Avoid Avoid Avoid! My trip was cancelled by no fault of my own but still refuse to reimburse £57 just offered a voucher which is no good to me wish I'd read the reviews before I booked, disgraceful!"
Flixbus UK,I love,5,,2025-04-02T14:04:39.000Z,"I love , bus is very Nice"
Flixbus UK,Thankyou somuch,5,,2025-04-02T12:50:49.000Z,
Flixbus UK,Straightforward booking,5,,2025-04-02T12:43:35.000Z,
Flixbus UK,Easy booking system,5,,2025-04-02T08:32:24.000Z,"Easy booking system, look forward to the travel"
Flixbus UK,Easy to use!,5,,2025-04-01T23:15:53.000Z,Easy and simple to book. | Will definitely use again and super impressed with the price given current financial crisis.
Flixbus UK,Happy with flexbus,5,,2025-04-01T22:28:11.000Z,
Flixbus UK,Fast booking,5,,2025-04-01T20:34:52.000Z,Fast booking
Flixbus UK,quick & easy to use indeed 🥳,5,,2025-04-01T20:21:08.000Z,
Flixbus UK,You are the best and friendly,5,,2025-04-01T20:04:31.000Z,You are the best and friendly
Flixbus UK,It was very easy very nice system im…,5,,2025-04-01T13:07:11.000Z,It was very easy very nice system im very happy
Flixbus UK,Easy steps,5,,2025-04-01T11:28:58.000Z,"Easy steps, clear instructions"
Flixbus UK,Easiest procedure,5,,2025-04-01T11:03:43.000Z,Easiest procedure
Flixbus UK,Very good easy and straight forward,5,,2025-04-01T00:03:58.000Z,
Flixbus UK,Really quick and easy to use service,5,,2025-03-31T23:29:51.000Z,
Flixbus UK,A wonderful service with great customer…,5,,2025-03-31T22:55:01.000Z,A wonderful service with great customer care 😊
Flixbus UK,Very easy to book,5,,2025-03-31T19:06:14.000Z,
Flixbus UK,Ok ok ok ok ok,5,,2025-03-31T17:36:06.000Z,Excelkent trips
Flixbus UK,I travel with Ease,5,,2025-03-31T17:21:39.000Z,
Flixbus UK,Very easy,5,,2025-03-31T16:08:39.000Z,Very easy. Would recommend
Flixbus UK,Easy to use.,4,,2025-03-31T15:40:52.000Z,Easy to use.
Flixbus UK,Very easy to book,5,,2025-03-31T15:36:19.000Z,Very easy to book
Flixbus UK,Ver easy to book and I enjoy travelling…,4,,2025-03-31T15:28:34.000Z,Ver easy to book and I enjoy travelling with your team. Do your team go to London?
Flixbus UK,Easy peasy..,5,,2025-03-31T12:34:44.000Z,Easy peasy... Great services
Flixbus UK,Easy to book,5,,2025-03-31T12:03:11.000Z,Easy to book. Competitive prices
Flixbus UK,So easy to book,5,,2025-03-31T11:44:08.000Z,"So easy to book, def recommend"
Flixbus UK,Great & very easy to use,5,,2025-03-31T10:15:34.000Z,So easy to use -- so easy to book everything | Great job
Flixbus UK,Amazing,5,,2025-03-31T08:03:00.000Z,Great service
Flixbus UK,Easy to buy ticket,5,,2025-03-30T22:58:07.000Z,Easy to buy ticket
Flixbus UK,very convenient,5,,2025-03-30T14:39:09.000Z,it's quick and convenient.
Flixbus UK,Okay thank you so much,5,,2025-03-30T13:07:24.000Z,Okay thank you so much
Flixbus UK,Cancelled 15 minutes before travel,1,,2025-03-30T11:21:11.000Z,"They cancelled the bus from Bristol to London 15 minutes before it was meant to arrive. How can they only know 15 minutes before that it’s not running? The alternatives given were a minimum of 4 hours later from a totally different part of the city. So now I’m £45 down after having to buy a train ticket. Customer service isn’t even open on weekends so you can’t chat to anyone. Absolute nightmare, I would never use again."
Flixbus UK,Easy to use and great prices,5,,2025-03-30T09:01:38.000Z,
Flixbus UK,Great service,5,,2025-03-30T08:42:07.000Z,Great service
Flixbus UK,Excellent customer care and value for…,5,,2025-03-30T03:46:09.000Z,Excellent customer care and value for money
Flixbus UK,GLAD THAT YOU HAVE COME ON THE MARKET…,5,,2025-03-30T01:39:07.000Z,GLAD THAT YOU HAVE COME ON THE MARKET AS MEGABUS HAS CUT MANY OF ITS ROUTES
Flixbus UK,Great good value and fast,5,,2025-03-29T20:04:47.000Z,
Flixbus UK,Great Experience..worth booking every…,5,,2025-03-29T19:14:22.000Z,Great Experience..worth booking every single time.. appreciate..
Flixbus UK,Nice and easy,5,,2025-03-29T18:41:09.000Z,Nice and easy
Flixbus UK,Bus to airport,5,,2025-03-29T17:24:23.000Z,Quick service and no problems
Flixbus UK,Bus did not turn up,1,,2025-03-29T13:55:57.000Z,Arrived early for 9.55am bus. Received a text advising delay until 10.16. Then another until 10.22 but the bus did not show up. There were no further updates and the status remained to show as being delayed but the tracker showed the bus to be half way to it's destination. It had obviously bypassed our pickup point to make up time. Ourselves and another passenger had to rebook a later bus and hour later. We had an hour and half wait at a freezing unsheltered pick up point. Also customer contact number is a Berlin number!
Flixbus UK,efficient,5,,2025-03-29T11:40:15.000Z,"efficient, great website ,i am able to book the dates i wanted .Fantastic and so affordable1"
Flixbus UK,Easy to book,5,,2025-03-29T10:34:34.000Z,"Easy to book, and the site works well"
Flixbus UK,So easy,5,,2025-03-29T06:52:38.000Z,So quick and easy to navigate
Flixbus UK,Please Be Cautious When Choosing FlixBus,1,,2025-03-29T02:38:39.000Z,"Please Be Cautious When Choosing FlixBus as Your Travel Partner |  | I had a terrible experience with FlixBus — by far the worst service I’ve encountered. Due to their mistake, I had to pay a a lot, and they showed absolutely no concern for the situation they put me in through their poor handling and rescheduling. |  | Their customer service is third-class — unhelpful, dismissive, and completely lacking in empathy. I was left in a very difficult situation when their driver refused to let me and my wife on board simply because their scanning machine couldn't read my valid barcode. I politely asked the driver to wait just 5 minutes so I could speak with customer service and sort out the issue, but he refused. This was particularly unfair considering passengers had already been made to wait over 30 minutes while the driver took his break in Manchester. |  | This level of unprofessionalism is unacceptable. I ended up paying over a lot to reach my destination using alternative transport, not to mention the mental stress and inconvenience caused — something that cannot be compensated easily. |  | FlixBus is running an unfair and irresponsible business in the UK. Such behavior should be taken seriously, and I believe the Traffic Commissioner should consider reviewing their operating license. |  | Travelers deserve better — be cautious before booking with FlixBus."
Flixbus UK,Booking is so easy,5,,2025-03-28T23:30:42.000Z,
Flixbus UK,Good service,5,,2025-03-28T23:04:28.000Z,Good service
Flixbus UK,I had a challenging experience when I…,1,,2025-03-28T20:57:48.000Z,"I had a challenging experience when I mistakenly booked a travel ticket from London to Glasgow departing at 21:30 from London Victoria. Upon realizing the mistake, I reached out to the customer service team for assistance. Unfortunately, instead of receiving help, I was informed that I would need to pay an additional £9.75. It’s worth noting that the desired travel was for the same day and time but had a different departure point. The ticket I had purchased was £4 more expensive than the alternative option I was considering. I was not requesting a refund, just looking for assistance with the situation as the oversight could happen to anyone .. | Very mean and wicked customer service team. |  | Very terrible"
Flixbus UK,The journey was very smooth and…,5,,2025-03-28T18:31:59.000Z,The journey was very smooth and convenient
Flixbus UK,Super,5,,2025-03-28T18:02:20.000Z,"Super, great"
Flixbus UK,Prompt service,5,,2025-03-28T17:44:42.000Z,Prompt service. No hurdles.
Flixbus UK,Easy to use very cheap and reliable,5,,2025-03-28T15:22:58.000Z,Easy to use very cheap and reliable
Flixbus UK,It is easy and relax service to do the…,5,,2025-03-28T14:38:23.000Z,It is easy and relax service to do the booking. I love it
Flixbus UK,Good service,5,,2025-03-28T13:07:13.000Z,
Flixbus UK,Easy to do and without issue,5,,2025-03-28T01:11:06.000Z,
Flixbus UK,Amazing site love it,5,,2025-03-27T22:52:27.000Z,
Flixbus UK,Excellent clear website,5,,2025-03-27T22:05:14.000Z,
Flixbus UK,Very easy to book,5,,2025-03-27T19:53:58.000Z,Very easy to book
Flixbus UK,Bus is not on i waiting bus still not…,1,,2025-03-27T19:50:02.000Z,Bus is not on i waiting bus still not come
Flixbus UK,Booking was excellent!,5,,2025-03-27T17:22:30.000Z,
Flixbus UK,Nice and easy.thank you.,5,,2025-03-27T16:38:35.000Z,
Flixbus UK,airport journey,5,,2025-03-27T16:11:48.000Z,easy to use app | cheap fares | regular coach times
Flixbus UK,User friendly,5,,2025-03-27T16:01:37.000Z,"User friendly, fast, simple and effective!"
Flixbus UK,service,4,,2025-03-27T15:25:35.000Z,quick response and service often from Flix bus
Flixbus UK,We've done quite a lot of travelling…,5,,2025-03-27T14:25:25.000Z,We've done quite a lot of travelling with FlixBus. It's easy for booking and travelling. Thanks!
Flixbus UK,I am more  than  happy  to travel  with…,5,,2025-03-27T13:46:27.000Z,I am more than happy to travel with flixbus keep going to give us service with much respect. Many thanks
Flixbus UK,Amazing service,5,,2025-03-27T13:42:32.000Z,
Flixbus UK,Professional clean comfortable,5,,2025-03-27T13:30:34.000Z,Professional clean comfortable. On time driver Professional and courteous. Just easy from booking tickets to reliability
Flixbus UK,Highly recommend,5,,2025-03-27T09:06:36.000Z,Highly recommend
Flixbus UK,fast and efficient,5,,2025-03-27T01:43:41.000Z,fast and efficient
Flixbus UK,Very easy user-friendly interface,4,,2025-03-27T01:03:48.000Z,Very easy user-friendly interface. Fare and choice of timings is simply amazing.
Flixbus UK,easy booking,5,,2025-03-26T23:53:44.000Z,was easy to book
Flixbus UK,Just booked it on time last minute easy booking n Affordable,5,,2025-03-27T00:06:29.000Z,Just booked it on time last minute and am glad I did affordable n very comfortable would recommend guess what i booked one for tomorrow thanks
Flixbus UK,Very Easy and Fast,5,,2025-03-26T19:56:45.000Z,Easy to use and simple instructions.
Flixbus UK,Booking was straight forward and easy.,5,,2025-03-26T18:26:50.000Z,
Flixbus UK,Efficient website,5,,2025-03-26T17:13:01.000Z,"Efficient website, minimum fuss, easily booked."
Flixbus UK,Very easy to book,5,,2025-03-26T16:50:19.000Z,Very easy to book . Great value
Flixbus UK,Everything was straight forward for me,5,,2025-03-26T15:41:24.000Z,Everything was straight forward for me. And it was the first time.
Flixbus UK,it was simple and easy to follow,5,,2025-03-26T13:28:34.000Z,
Flixbus UK,Liked Liked.,4,,2025-03-26T12:52:14.000Z,
Flixbus UK,So easy to book,5,,2025-03-26T12:42:36.000Z,So easy to book. Clear prices. Great coaches used many times
Flixbus UK,Straightforward,5,,2025-03-26T11:08:30.000Z,Straightforward
Flixbus UK,Good and fast,5,,2025-03-26T09:32:57.000Z,Good and fast
Flixbus UK,Super quick,5,,2025-03-26T07:59:38.000Z,Super quick
Flixbus UK,everything is fine,5,,2025-03-26T04:22:13.000Z,
Flixbus UK,FlixBus gave me a voucher,1,,2025-03-29T10:00:32.000Z,"FlixBus gave me a voucher, but I had no idea when it would expire because they never sent any notification. When I finally tried to use it, it was already expired. It’s really unfair to customers—there should at least be a reminder before it runs out. Disappointing experience!"" |  | No response from flixbus team so far its 26/03/2025 . I will | Keep updating here about what help i got from them |  | 29/03/2025 | No update no reply from | Flixbus"
Flixbus UK,Great experience booking on Flix today,5,,2025-03-26T00:49:49.000Z,Great experience booking on Flix today
Flixbus UK,Very good and efficient,5,,2025-03-26T00:33:04.000Z,Very good and efficient
Flixbus UK,Good experince,5,,2025-03-25T23:32:26.000Z,Good experinces
Flixbus UK,easy bookings with relevant information,5,,2025-03-25T21:27:54.000Z,
Flixbus UK,Simple and flexible,5,,2025-03-25T16:06:40.000Z,
Flixbus UK,Best Bus Service Out There,5,,2025-03-25T14:01:38.000Z,"Flixbus has a simple and hassle-free booking service, and a very affordable and reliable bus service."
Flixbus UK,flix bus Italian trip,2,,2025-03-25T10:29:11.000Z,We are travelling to Italy later this year and booked seats to Puglia. The booking system was easy but the luggage situation was misleading. I paid for 4 suitcases and when the confirmation came through it stated 8 pieces of luggage. I tried to contact the company but as usual had to do this via their refund page. They sent me a voucher which I will never use. We are pensioners having a train and road trip and probably will never do this again because of pre existing conditions. When I asked if we could have a refund instead of a voucher they stated that it was in the terms and conditions no refunds of money. So travellers beware really make sure you don’t make any mistakes with Flix bus as they will not refund money.
Flixbus UK,Very easy to book,5,,2025-03-25T09:04:05.000Z,Very easy to book
Flixbus UK,Excellence,5,,2025-03-25T02:54:34.000Z,Excellence
Flixbus UK,Easy to book online,5,,2025-03-24T22:16:50.000Z,
Flixbus UK,It’s ok,5,,2025-03-24T19:38:34.000Z,It was very good
Flixbus UK,Great experience,5,,2025-03-24T18:34:41.000Z,Great experience
Flixbus UK,Easy to understand the booking system,5,,2025-03-24T18:17:48.000Z,
Flixbus UK,My ticket booking process was seamless…,5,,2025-03-24T17:48:07.000Z,My ticket booking process was seamless and the fares are cheap
Flixbus UK,This is the first time I have done…,4,,2025-03-24T16:47:54.000Z,"This is the first time I have done anything like this, I am doing it by myself, I hope to see nice people, plus the driver, for this short drive, I love to drive myself but for once I feel like this could be the start of relaxing and hopefully enjoying."
Flixbus UK,It's  easy to book,5,,2025-03-24T15:41:27.000Z,It's easy to book | Good price
Flixbus UK,Easy booking,5,,2025-03-24T10:05:12.000Z,Easy booking
Flixbus UK,The booking was clear and fast,5,,2025-03-24T04:32:02.000Z,
Flixbus UK,It is good one,5,,2025-03-24T03:04:23.000Z,It is good one
Flixbus UK,Easy booking,5,,2025-03-24T01:57:15.000Z,Easy booking
Flixbus UK,Good to travel with family.,5,,2025-03-24T01:37:55.000Z,
Flixbus UK,Good happy just wished it was a…,5,,2025-03-24T01:32:29.000Z,Good happy just wished it was a different coach make as last time the toliet was out of use for 13 hrs with no stops and smelt
Flixbus UK,Amazing,5,,2025-03-24T01:16:06.000Z,Good services
Flixbus UK,Very decent bus,5,,2025-03-24T00:35:17.000Z,
Flixbus UK,This is very good surface,5,,2025-03-23T23:47:43.000Z,
Flixbus UK,Easy,5,,2025-03-23T22:52:14.000Z,Easy and straight forward booking
Flixbus UK,The BEST and CHEAPEST way to travel around the UK,5,,2025-03-23T22:26:35.000Z,"I have made many trips to Birmingham from London and back and I will use always use FlixBus and no one else. | To begin with, they are the cheapest and even fastest!! The train which costs nearly £50 takes 2 hours 20 minutes (usually much longer with delays) while FlixBus takes 2 hours 40 minutes (though my last 3 trips took only 2 hours...a record!!). The cost is never more than £13!! | The coaches are always on time and if they are getting delayed an email is sent well in advance. | The drivers are amazing, efficient and polite and the service is fantastic! | The buses are clean and comfortable and it is like having a 5 star travelling experience!! | FlixBus are the BEST!!"
Flixbus UK,Disgraceful behaviour from driver,1,,2025-03-23T22:16:25.000Z,Our driver was extremely rude. It took 1.5hrs to get from Finchley Rd to Victoria. We received no communication from the driver. Instead he was talking to someone on loudspeaker in his own language. He told the woman sitting behind him to sshhhh when she was talking to someone on the phone and was incredibly rude when a youman went to ask him what the problem was. When we arrived at Victoria I asked why he didn't communicate with us? Apparently he's a driver not a communicator and I should have looked at my phone for answers. He gave me very rude hand gestures and made everyone get their own cases out of the hold. This was my 1st and last time of using Flixbus. Disgraceful behaviour
Flixbus UK,Great customer service and personnel,5,,2025-03-23T19:29:11.000Z,Great customer service and personnel
Flixbus UK,Booking times were great 😊,5,,2025-03-23T18:47:11.000Z,Booking times were great 😊
Flixbus UK,Quick,5,,2025-03-23T15:36:22.000Z,"Quick, easy, great value price."
Flixbus UK,Straight forward,5,,2025-03-24T22:17:17.000Z,"Straight forward, What I love is the App don't cheat, it won't change my choice unless I do it myself, other companies their App keep adding people or change my choice etc. Thank you for respecting my choice without forcing me or tricking me by changing my booking to higher prices or destinations etc. I don't get frustrated with you, its quick, other drive me mad, it could take 2 hours to keep resetting on what I want 1 person, 1 bed, in 1 location etc for Hotel, taxi, bus, train, etc. They take over even when you want to search with another company, they hide bihind or they spool under another web page, and take your booking, your money and give you wrong informations and I have lost my money once on location, It is not what I book for, I end up with a MIXED share accomodation of a dozen men and women, its crazy why they mix people like animals... No respect, still I didn't got refunded for my week I had booked and paid under better circunstance, It is very dishonest, it is not possible to get rid of Booking .com they pop up all the time, they are the one taking over my booking and put me with mix people I am a women, I don't want to share with men. Way to aggressive for my taste. Thank you for good service. I will continue my bookings with you from now on."
Flixbus UK,Affordable travel you can count on .,5,,2025-03-23T13:15:53.000Z,Seamless travel every time ! Always on time and absolute value for money !
Flixbus UK,Flix bus is the best,5,,2025-03-23T10:02:49.000Z,Flix bus is the best
Flixbus UK,Brilliant service so easy,5,,2025-03-23T10:02:18.000Z,Brilliant service so easy
Flixbus UK,Value for money,5,,2025-03-23T09:52:28.000Z,Was so easy and quick to book
Flixbus UK,Very Good 👍 👌,5,,2025-03-23T05:14:38.000Z,Very Good 👍 👌
Flixbus UK,Good and easy,5,,2025-03-23T02:08:14.000Z,Good and easy
Flixbus UK,Service,5,,2025-03-22T21:41:46.000Z,This is good work
Flixbus UK,Cheap travel,5,,2025-03-22T20:22:56.000Z,Excellent service
Flixbus UK,Good service,5,,2025-03-22T18:32:39.000Z,Good service
Flixbus UK,Nice company with best prices,5,,2025-03-22T17:15:47.000Z,Nice company with best prices
Flixbus UK,It was quick and easy,5,,2025-03-22T17:13:33.000Z,It was quick and easy. Very reasonable price
Flixbus UK,Customer friendly,5,,2025-03-22T15:52:15.000Z,"So quick, easy and secure"
Flixbus UK,Very quick and easy,4,,2025-03-22T12:15:49.000Z,Very quick and easy
Flixbus UK,Easy and trustworthy platform,5,,2025-03-22T05:01:28.000Z,Easy and trustworthy platform
Flixbus UK,easy to navigate,5,,2025-03-22T00:45:41.000Z,
Flixbus UK,Your left to night no where to go,1,,2025-03-22T00:37:16.000Z,Your left to night no where to go | My bus left early of time | So that's bad experience to night
Flixbus UK,Satisfactory,5,,2025-03-22T00:36:19.000Z,Satisfactory
Flixbus UK,Yesyes,5,,2025-03-21T22:13:13.000Z,"Yes, I would like."
Flixbus UK,Straightforward,5,,2025-03-21T21:31:37.000Z,"Easy, convenient, cost effective"
Flixbus UK,Easy to book,5,,2025-03-21T16:19:47.000Z,Easy to book
Flixbus UK,This company shouldn't be in business,1,,2025-03-21T09:00:15.000Z,"This company shouldn't be in business. | They're clearly not capable of taking responsibility for their own mistakes. | A couple minutes before leaving home I was notified of a 45 minutes delay on my trip, which was originally scheduled to depart at 4.45 am. | The email said to be at the stop 15 minutes before the forecasted time, which was then 5.30am. | I arrived at the bus stop at 5 am, and about five minutes after that, the forecasted time changed from 5.30 am to 4.58 am, meaning the bus had departed two minutes before I arrived. | Needless to say I would have never missed the bus had I not received their email stating a delay that was in fact 10 minutes and not 45. | Tried to explain this to their customer support, and the guy clearly had already decided that I didn't deserve a refund before even understanding the whole story. | He denied that any email was sent to me even after I showed it to him, he kept on blaming me for not being there fifteen minutes before the scheduled time, when the email stated to be there before the forecasted time, not the original scheduled one. | So not only I'm not able to attend an extremely important medical check that will take months to be rescheduled, I'm also not gonna be refunded for the tickets I can't use due to their massive mistake. | Avoid this company like the plague. Highly unprofessional."
Flixbus UK,Great service,5,,2025-03-21T08:34:37.000Z,Great service
Flixbus UK,Good service and cheap price,5,,2025-03-21T06:32:18.000Z,
Flixbus UK,Good easy to booking,5,,2025-03-21T00:33:26.000Z,Good easy to booking
Flixbus UK,Easy booking system,5,,2025-03-21T00:23:19.000Z,Easy booking system. Direct routes and reliable service. Value for money. Reccomend.
Flixbus UK,Great,5,,2025-03-21T00:01:56.000Z,Great. Experience I just think ya'll need to enable better directions when it comes to online payments.
Flixbus UK,Great experience,5,,2025-03-20T22:40:44.000Z,Great experience
Flixbus UK,I found the site very easy to use.,5,,2025-03-20T20:46:18.000Z,
Flixbus UK,What choice would you make?,1,,2025-03-20T19:42:58.000Z,"I booked to use the FlixBus service a few weeks before departure to take two of us to a London airport. |  | The departure day and time arrived (midnight), but there was no FlixBus present and neither was there any communication via text or email from FlixBus. |  | An alternative opportunity arose with a different coach company, so I attempted making contact with FlixBus to find out the situation - but they only open from 8am to 8pm - and it was now way past midnight. |  | The alternative transport was about to leave and, without knowing what was happening regarding our FlixBus transport, I opted to secure two seats on the other coach. |  | When requesting a refund for FlixBus services not rendered, it was refused as, apparently, the FlixBus DID eventually leave - but an hour and a half later than scheduled! |  | The FlixBus representative could not explain why there was no communication. Neither could the representative explain why the bus was one and a half hours late! |  | Now, the two of us could have waited in the cold, at night, while tired, in the hope the FlixBus MIGHT arrive - but even then, there was no guarantee that it would. I needed to secure transport to the airport. What would you have done? |  | I will NOT be booking FlixBus again and neither can I recommend the service. |  | The FlixBus service all-around is poor!"
Flixbus UK,It was so easy to book,5,,2025-03-20T18:22:16.000Z,
Flixbus UK,Very nice and easy service.,5,,2025-03-20T17:40:28.000Z,
Flixbus UK,Easy to book,5,,2025-03-20T15:39:06.000Z,Information is clear. | Booking process very easy
Flixbus UK,Nice staff,5,,2025-03-20T14:26:28.000Z,Easy to purchase
Flixbus UK,Easy to book!,5,,2025-03-20T14:19:41.000Z,Easy to book!
Flixbus UK,Very good bus,5,,2025-03-20T01:59:35.000Z,
Flixbus UK,All good except payment rejections,4,,2025-03-19T21:38:28.000Z,All good except payment rejections
Flixbus UK,Helpful easy booking process,5,,2025-03-19T21:07:30.000Z,Helpful easy booking process
Flixbus UK,Good,5,,2025-03-19T19:48:35.000Z,Reasonable price
Flixbus UK,I cancelled my ticket and it issued me…,1,,2025-03-19T16:30:11.000Z,"I cancelled my ticket and it issued me with a voucher for another trip. Terrible service, always late, the coach stinks of bad socks and windows have never seen the time of day! Disgusting service! Better to use train! You really get what you pay for and this service really states that!"
Flixbus UK,Good,5,,2025-03-19T07:53:40.000Z,"Good , very nice service"
Flixbus UK,Good and clean bus,4,,2025-03-19T04:00:15.000Z,Good and clean bus
